gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4020668436	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/ad0574b8-1c0d-4b01-bb1b-a760181643a7_image.jpg										© All rights reserved	Siri Sofie Børseth
4020655346	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/e21f8fad-bfba-4cd2-a739-1dd9ef2595d5_image.jpg										© All rights reserved	Arnt Stavne
4020655346	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/3fbc2ae7-98e0-4891-808b-3c89c29bfcbf_image.jpg										© All rights reserved	Arnt Stavne
4016258446	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/c326bcc3-0f9c-4a3f-9de4-1b61de2bd05d_image.jpg										© All rights reserved	Stian Gjevik
4016258446	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/75d6698b-be05-4940-a7ee-99077e95c10b_image.jpg										© All rights reserved	Stian Gjevik
4016258446	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/41838cc1-619c-4890-9f9b-feccbdd3495a_image.jpg										© All rights reserved	Stian Gjevik
3990901404	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/12/59245b46-d18b-4030-8d56-f2519f93f4e0_image.jpg										© All rights reserved	Stian Gjevik
3990901404	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/12/8692f67b-cf68-41dc-b977-3dd89052dd3b_image.jpg										© All rights reserved	Stian Gjevik
3990901404	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/12/7832eb97-a5ce-46b0-8f8a-75126eef7f11_image.jpg										© All rights reserved	Stian Gjevik
3990901404	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/12/482074d4-3a08-44d3-ae89-a473e5eb8cdf_image.jpg										© All rights reserved	Stian Gjevik
3987952400	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/12/22f5a6a5-417b-4a85-82fc-dff6122d36aa_image.jpg										© All rights reserved	Siri Sofie Børseth
3979107350	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/11/becb229f-6485-4b66-9360-5b6aade11ace_image.jpg										© All rights reserved	Stian Gjevik
3979107350	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/11/ce509fe0-bc79-4e6c-88a9-bee09b70be04_image.jpg										© All rights reserved	Stian Gjevik
3979107350	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/11/c6772b92-6b4b-43f2-b58e-395323659145_image.jpg										© All rights reserved	Stian Gjevik
3979106315	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/11/57618e9e-1bad-441f-b225-4179c20db432_image.jpg										© All rights reserved	Stian Gjevik
3979106315	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/11/1c2f6fc9-2b58-472d-977e-3c10d0433424_image.jpg										© All rights reserved	Stian Gjevik
3979106315	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/11/5804c94c-e9d8-4ddd-8e79-5618f8c29a47_image.jpg										© All rights reserved	Stian Gjevik
3978994310	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/11/9f6b8272-1ea3-4292-ba21-27bfabdcd24c_image.jpg										© All rights reserved	Stian Gjevik
3924316528	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/10/e10c09e4-9943-495f-a3ac-49fd6e218220_image.jpg										© All rights reserved	Gunnar Stenhaug
3924242308	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/10/bbfc3f22-5897-4dba-9d19-75296c3e394f_image.jpg										© All rights reserved	Bjørg Wold Nygård
