gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3098149520	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201305162550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Storhølisætra	Innlandet	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	61.40764	9.28073	5000.0		970.0	70.0			2013-06-15T00:00:00	15	6	2013	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201305162550				CC_BY_4_0					2022-09-08T13:52:00.572Z		
3098149516	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201614142550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Bygstad	Vestland	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	61.34789	5.65293	5000.0		90.0	90.0			2016-06-01T00:00:00	1	6	2016	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201614142550				CC_BY_4_0					2022-09-08T13:52:00.574Z		
3098149480	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201018532580	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus marinus		SPECIES	Larus marinus Linnaeus, 1758	Larus marinus		NO	Storfjorden	Nordland	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	68.16224	13.83071	5000.0		130.0	130.0			2010-06-12T00:00:00	12	6	2010	2481172	2481172	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201018532580				CC_BY_4_0					2022-09-08T13:52:00.560Z		
3098149403	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201018532550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Storfjorden	Nordland	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	68.16224	13.83071	5000.0		130.0	130.0			2010-06-12T00:00:00	12	6	2010	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201018532550				CC_BY_4_0					2022-09-08T13:52:00.552Z		
3098149366	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:202020242550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Idjajavri	Troms og Finnmark	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	69.59052	25.19477	5000.0		277.5	2.5			2020-06-24T00:00:00	24	6	2020	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	202020242550				CC_BY_4_0					2022-09-08T13:52:00.545Z		
3098149365	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201216272550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Vingan	Trøndelag	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	63.49543	9.23303	5000.0		150.0	150.0			2012-05-26T00:00:00	26	5	2012	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201216272550				CC_BY_4_0					2022-09-08T13:52:00.544Z		
3098149330	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201616032550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Veslnøsa	Trøndelag	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	62.56991	9.7775	5000.0		1225.0	75.0			2016-07-08T00:00:00	8	7	2016	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201616032550				CC_BY_4_0					2022-09-08T13:52:00.541Z		
3098149153	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201701012550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Skogskroken	Viken	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	58.91206	11.62238	5000.0		205.0	15.0			2017-06-01T00:00:00	1	6	2017	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201701012550				CC_BY_4_0					2022-09-08T13:52:00.478Z		
3098149144	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:202014222550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Røyrvikstøylsvatnet	Vestland	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	61.69061	5.85377	5000.0		575.0	225.0			2020-06-20T00:00:00	20	6	2020	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	202014222550				CC_BY_4_0					2022-09-08T13:52:00.475Z		
3098149134	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201415212550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Søvatnet	Møre og Romsdal	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	63.17219	9.35886	5000.0		450.0	150.0			2014-06-14T00:00:00	14	6	2014	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201415212550				CC_BY_4_0					2022-09-08T13:52:00.476Z		
3098149133	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201005052550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Dokka	Innlandet	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	60.79505	10.18472	5000.0		217.5	82.5			2010-06-02T00:00:00	2	6	2010	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201005052550				CC_BY_4_0					2022-09-08T13:52:00.474Z		
3098149087	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201514142550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Bygstad	Vestland	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	61.34789	5.65293	5000.0		90.0	90.0			2015-05-26T00:00:00	26	5	2015	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201514142550				CC_BY_4_0					2022-09-08T13:52:00.463Z		
