"model","metric","species","Parameter","metricEst","value"
"VSEDetect","RMSE",2,"gamma1","sd",34.5016415906439
"VSEDetect","RMSE",2,"rangeW2","sd",0.640766058025583
"VSEDetect","RMSE",2,"stdW2","sd",0.220641544871307
"VSEDetectMisclass","Bias",1,"alpha0","sd",1.37136563061248
"VSEDetectMisclass","Bias",1,"alpha1","sd",1.79273751621605
"VSEDetectMisclass","Bias",1,"beta0","sd",1.57824393167619
"VSEDetectMisclass","Bias",1,"beta1","sd",1.16191804547998
"VSEDetectMisclass","Bias",1,"ecoRange","sd",3.78426798758463
"VSEDetectMisclass","Bias",1,"ecoSD","sd",0.120074667480395
"VSEDetectMisclass","Bias",1,"gamma0","sd",0.302918492183927
"VSEDetectMisclass","Bias",1,"gamma1","sd",0.337134888380686
"VSEDetectMisclass","Bias",1,"rangeW2","sd",1.37322758007932
"VSEDetectMisclass","Bias",1,"stdW2","sd",0.104856527279071
"VSEDetectMisclass","Bias",2,"alpha0","sd",1.37136563061248
"VSEDetectMisclass","Bias",2,"alpha1","sd",1.79273751621605
"VSEDetectMisclass","Bias",2,"beta0","sd",1.14559158558757
"VSEDetectMisclass","Bias",2,"beta1","sd",0.829670106306318
"VSEDetectMisclass","Bias",2,"ecoRange","sd",2.09420533492059
"VSEDetectMisclass","Bias",2,"ecoSD","sd",0.352132010952802
"VSEDetectMisclass","Bias",2,"gamma0","sd",0.373181279675762
"VSEDetectMisclass","Bias",2,"gamma1","sd",0.193817120142335
"VSEDetectMisclass","Bias",2,"rangeW2","sd",1.37322758007932
"VSEDetectMisclass","Bias",2,"stdW2","sd",0.104856527279071
"VSEDetectMisclass","RMSE",1,"alpha0","sd",0.740098319484813
"VSEDetectMisclass","RMSE",1,"alpha1","sd",1.02663586628634
"VSEDetectMisclass","RMSE",1,"beta0","sd",1.09277059389468
"VSEDetectMisclass","RMSE",1,"beta1","sd",0.678986873959639
"VSEDetectMisclass","RMSE",1,"ecoRange","sd",3.78426798758462
"VSEDetectMisclass","RMSE",1,"ecoSD","sd",0.120074667480395
"VSEDetectMisclass","RMSE",1,"gamma0","sd",0.177061298342495
"VSEDetectMisclass","RMSE",1,"gamma1","sd",8.64627753577375
"VSEDetectMisclass","RMSE",1,"rangeW2","sd",1.37322758007932
"VSEDetectMisclass","RMSE",1,"stdW2","sd",0.104856527279071
"VSEDetectMisclass","RMSE",2,"alpha0","sd",0.740098319484813
"VSEDetectMisclass","RMSE",2,"alpha1","sd",1.02663586628634
"VSEDetectMisclass","RMSE",2,"beta0","sd",0.501138546266502
"VSEDetectMisclass","RMSE",2,"beta1","sd",0.370410638827392
"VSEDetectMisclass","RMSE",2,"ecoRange","sd",2.0942053349206
"VSEDetectMisclass","RMSE",2,"ecoSD","sd",0.0805443454278082
"VSEDetectMisclass","RMSE",2,"gamma0","sd",0.161921598604617
"VSEDetectMisclass","RMSE",2,"gamma1","sd",4.76601345586325
"VSEDetectMisclass","RMSE",2,"rangeW2","sd",1.37322758007932
"VSEDetectMisclass","RMSE",2,"stdW2","sd",0.104856527279071
"naive","Bias",1,"alpha0","sd",NA
"naive","Bias",1,"alpha1","sd",NA
"naive","Bias",1,"beta0","sd",0.780956855216309
"naive","Bias",1,"beta1","sd",0.576098762096019
"naive","Bias",1,"ecoRange","sd",7.2853058526124
"naive","Bias",1,"ecoSD","sd",0.151962211565773
"naive","Bias",1,"gamma0","sd",NA
"naive","Bias",1,"gamma1","sd",NA
"naive","Bias",1,"rangeW2","sd",NA
"naive","Bias",1,"stdW2","sd",NA
"naive","Bias",2,"alpha0","sd",NA
"naive","Bias",2,"alpha1","sd",NA
"naive","Bias",2,"beta0","sd",1.07028707133478
"naive","Bias",2,"beta1","sd",0.843599312635953
"naive","Bias",2,"ecoRange","sd",8.3664839060011
"naive","Bias",2,"ecoSD","sd",0.164289242917167
"naive","Bias",2,"gamma0","sd",NA
"naive","Bias",2,"gamma1","sd",NA
"naive","Bias",2,"rangeW2","sd",NA
"naive","Bias",2,"stdW2","sd",NA
"naive","RMSE",1,"alpha0","sd",NA
"naive","RMSE",1,"alpha1","sd",NA
"naive","RMSE",1,"beta0","sd",0.773527631832327
"naive","RMSE",1,"beta1","sd",0.244723753082184
"naive","RMSE",1,"ecoRange","sd",7.28530585261239
"naive","RMSE",1,"ecoSD","sd",0.0787643444511221
"naive","RMSE",1,"gamma0","sd",NA
